"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","100","106","1","161.622070","0","106"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","100","100","1","506.085175","0","100"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","5","1","3.384714","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","26","1","36.730724","0","26"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","5","1","5.831595","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","14","1","19.254492","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","5","1","6.661676","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","63","63","1","114.074417","0","63"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","127","127","1","82.497520","0","127"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialEnvelope_ADSR.M_AudioMaterialEnvelope_ADSR","49","27","29","1","35.459015","0","29"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","49","13","13","1","13.917479","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialToggleButton.M_AudioMaterialToggleButton","49","13","13","1","11.968389","0","13"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","62","66","1","112.392120","0","66"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","88","92","1","141.796539","0","92"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","63","63","1","60.113762","0","63"
"/Paper2D/DefaultLitSpriteMaterial.DefaultLitSpriteMaterial","49","53","55","2","62.279388","0","55"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","184","194","6","580.403564","0","194"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","5","5","1","4.695724","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","5","5","1","4.567905","0","5"
"/InterchangeAssets/gltf/M_Default.M_Default","49","278","296","6","569.397156","0","296"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","278","296","6","522.137024","0","296"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","270","280","6","466.319977","0","280"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","96","96","2","576.772339","0","96"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","270","280","6","518.126099","0","280"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","49","23","23","1","80.758339","0","23"
"/Engine/BufferVisualization/BaseColor.BaseColor","49","5","5","1","1.110121","0","5"
